epoch,batch,train_loss,val_loss
0,0,12.456650733947754,
0,1,11.642654418945312,
0,2,10.771641731262207,
0,3,10.239053726196289,
0,4,9.794035911560059,
0,5,9.378374099731445,
0,6,8.95136833190918,
0,7,8.547066688537598,
0,8,7.977621555328369,
0,9,7.510204792022705,
0,10,7.349081039428711,7.057880940704127
1,0,6.777515411376953,
1,1,6.347445487976074,
1,2,5.849303722381592,
1,3,5.442658424377441,
1,4,4.959589004516602,
1,5,4.783690929412842,
1,6,4.426217555999756,
1,7,4.117919921875,
1,8,3.646817445755005,
1,9,3.661590576171875,
1,10,3.4177143573760986,3.9026257694195126
2,0,3.213317632675171,
2,1,2.983602523803711,
2,2,3.006434917449951,
2,3,2.8688926696777344,
2,4,2.629974603652954,
2,5,2.61765718460083,
2,6,2.774364709854126,
2,7,2.4225687980651855,
2,8,2.5867056846618652,
2,9,2.2179129123687744,
2,10,2.268010139465332,2.8376740030784005
3,0,1.9738531112670898,
3,1,2.051110029220581,
3,2,1.9713656902313232,
3,3,1.8357678651809692,
3,4,1.9536010026931763,
3,5,1.9129831790924072,
3,6,1.7625960111618042,
3,7,1.910056233406067,
3,8,1.7195985317230225,
3,9,1.8033546209335327,
3,10,1.7290059328079224,2.491279879464652
4,0,1.5494729280471802,
4,1,1.5776865482330322,
4,2,1.406191110610962,
4,3,1.520255446434021,
4,4,1.4598325490951538,
4,5,1.4731009006500244,
4,6,1.4188145399093628,
4,7,1.2994565963745117,
4,8,1.4421765804290771,
4,9,1.2917877435684204,
4,10,1.2252620458602905,2.1972891001653467
5,0,1.2508805990219116,
5,1,1.2258851528167725,
5,2,1.1495997905731201,
5,3,1.280662178993225,
5,4,1.2662217617034912,
5,5,1.178981900215149,
5,6,1.1099940538406372,
5,7,1.047943115234375,
5,8,1.0663214921951294,
5,9,1.1413666009902954,
5,10,0.788170337677002,2.049459597643684
6,0,0.9873483180999756,
6,1,1.021723747253418,
6,2,1.0311917066574097,
6,3,0.9776842594146729,
6,4,0.9252077341079712,
6,5,0.9118388295173645,
6,6,0.929492712020874,
6,7,0.8856761455535889,
6,8,1.0450174808502197,
6,9,0.8797047734260559,
6,10,0.9313948154449463,1.866678940856474
7,0,0.8208621144294739,
7,1,0.7737383246421814,
7,2,0.9169303178787231,
7,3,0.8308271765708923,
7,4,0.8569597601890564,
7,5,0.7856642603874207,
7,6,0.7719295620918274,
7,7,0.8708500266075134,
7,8,0.7236455082893372,
7,9,0.8109492063522339,
7,10,0.8262715935707092,1.824737433552571
8,0,0.770911693572998,
8,1,0.6596601605415344,
8,2,0.7422944903373718,
8,3,0.7282807230949402,
8,4,0.7150328159332275,
8,5,0.7326847910881042,
8,6,0.6264500617980957,
8,7,0.7547439336776733,
8,8,0.6609228849411011,
8,9,0.6491681933403015,
8,10,0.7951601147651672,1.8033707003340318
9,0,0.625383734703064,
9,1,0.6386579275131226,
9,2,0.6888269782066345,
9,3,0.5042475461959839,
9,4,0.6446634531021118,
